n;4;10;15;20;22;25;30;40
BF;0,64;8,34;336,2;12356,1;52943,82;454683;;
BB;0,54;5,96;31,62;758,2;3553,04;22126,42;;
DYN;12,48;81,66;163,38;298,2;361,06;500,9;870,2;1450,33
eps=0.25;3,42;38,04;88,36;158;237,56;516,52;756,66;1259,4
eps=0.5;1,96;19,92;149,16;257,36;355,7;606,64;355,7;606,64
eps=0.75;1,94;19,46;45,22;73,2;94,46;146,4;347,92;643,92
eps=0.9;1,76;11,4;72,64;119,58;89,14;119,58;209,98;634,74
